小区,街道,房型(室),面积(㎡),总价(万元),均价(元/㎡)
日月东华,石佛营,2,101.83,429,86
十里春风,通州其它,3,92.93,126,286
厂洼小区,厂洼,1,43.9,325,53
惠新里小区,惠新西街,3,76.86,550,315
天通苑北二区,天通苑,2,114.38,388,478
双桥温泉东里小区,双桥,2,71.88,198,286
普渡寺东巷,东单,3,87.11,1260,394
恋日绿岛,小红门,1,54.84,193,114
流星花园三区,回龙观,3,115.32,581,216
华美橡树岭,双桥,2,85.11,360,170
华彩国际公寓,望京,3,183.22,1430,63
汇景苑二区,东坝,2,80.46,370,515
育慧里二区,亚运村小营,2,59.75,398,338
金融街融汇,天宫院,1,53.13,189,304
小康家园,亦庄,2,90.0,269,459
惠景新苑,房山其它,2,72.22,65,5
兴隆家园,高碑店,1,51.8,255,138
光大花园,万柳,2,93.07,1050,465
西便门西里,木樨地,2,54.78,540,337
翠成馨园E区,垡头,2,71.71,230,53
隆兴园一里,大兴新机场,3,109.93,226,289
融科千章墅,通州其它,4,388.66,1100,165
北街家园六区,沙河,1,26.16,125,415
沿海赛洛城六期,百子湾,2,83.69,443,493
南珠苑,草桥,1,43.89,200,307
万年花城二期,玉泉营,1,51.96,260,44
新街口西里一区,新街口,2,70.17,750,495
果园233号院,果园,2,85.4,249,93
莲水怡园,马驹桥,2,94.75,269,209
高家园四区,酒仙桥,2,54.95,237,87
融科千章墅,通州其它,4,388.66,1100,165
名流花园,北七家,4,180.52,385,174
荔景园,武夷花园,2,99.68,369,28
西山华府禧园,马连洼,4,167.28,1860,151
加州水郡三期,长阳,2,90.7,204,257
观音惠园,百子湾,2,89.95,339,362
甘露园南里,甘露园,1,42.9,170,333
团结湖公寓,团结湖,1,44.94,290,297
CBD总部公寓二期,双井,1,64.6,485,76
呼家楼新苑,红庙,2,55.89,330,52
蔚园,青塔,1,46.12,188,402
金地名京,四惠,2,120.1,760,172
红星北里,万源,2,72.78,223,335
三嘉信苑,海淀北部新区,2,64.3,223,358
高家园四区,酒仙桥,2,54.95,237,87
益明园,马家堡,1,44.48,296,306
合顺家园,新宫,1,69.71,340,411
天天朝阳,甘露园,1,38.26,169,108
周庄嘉园东里C区,十里河,1,47.88,210,451
金隅润景阁,青塔,3,122.75,570,241
国际港,燕莎,4,165.91,890,348
北亚花园,北七家,2,86.6,236,139
周家庄中路20号院,十里河,1,56.78,225,333
地坛北门,和平里,2,51.32,555,126
彼岸香醍,溪翁庄镇,5,199.17,399,27
玉竹园,良乡,2,94.99,165,194
金蝉北里,垡头,2,73.16,270,471
万柳园小区,玉泉营,2,54.64,225,110
西豪逸景,广安门,3,146.37,1349,128
莲水怡园,马驹桥,2,94.75,269,209
金地格林格林,北关,2,75.54,265,58
菊园,马连洼,2,63.29,470,168
世纪星城三期,通州北苑,3,104.08,415,456
手帕口南街,广安门,3,91.52,710,328
名流花园,北七家,4,180.52,385,174
朝阳旺角,双桥,3,135.12,550,372
石佛营东里105号院,石佛营,2,58.42,360,342
西山华府禧园,马连洼,4,167.28,1860,151
探矿家属院,果园,2,50.57,199,195
驼房营南里,酒仙桥,2,75.53,319,138
三里河北街2号院,月坛,2,51.7,820,383
剧场东街,城子,3,65.58,229,477
荔景园,武夷花园,2,99.68,369,28
加州水郡三期,长阳,2,90.7,204,257
腾龙家园三区,阎村,2,90.13,130,219
南湖中园一区,望京,2,74.85,449,523
阿尔法社区,九棵树(家乐福),2,79.15,275,389
北京城建·广悦居,长阳,2,80.35,200,458
安外西河沿路2号院,安定门,2,78.89,1050,115
绿丰家园,豆各庄,2,85.78,270,253
榆垡新城嘉园C区,大兴机场空港,2,86.0,150,229
CBD总部公寓二期,双井,3,127.94,1180,161
飘HOME,酒仙桥,1,59.89,274,398
龙跃苑东二区,回龙观,3,125.04,495,313
安德路47号院,安定门,2,53.14,530,418
益城园,马家堡,1,62.19,430,106
首开住总熙悦安郡,成寿寺,2,83.85,559,366
方恒国际中心,望京,2,112.37,358,445
东罗园,木樨园,3,64.34,295,448
朝阳门南大街,朝阳门外,2,76.57,538,166
锦秋知春,知春路,2,85.59,875,167
香悦四季东区,马坡,3,114.96,345,20
长阳国际城三区,长阳,3,89.21,239,408
馨港庄园二区,李桥,2,111.74,208,316
阳光星苑北区,新宫,1,37.1,117,284
和平里一区,和平里,3,69.08,698,72
龙熙顺景丁区,大兴新机场,2,126.8,235,276
北新家园,西三旗,2,56.7,288,422
学府花园,密云镇,2,101.25,200,386
定海园一里,通州其它,2,103.04,360,486
开园小区,鼓楼街道,2,101.86,193,483
高家园三区,酒仙桥,2,55.98,262,424
首开熙悦山澜庭,长阳,2,84.02,297,192
安外西河沿路2号院,安定门,1,66.41,798,141
阳光城溪山悦,溪翁庄镇,2,82.31,138,391
福苑小区,大兴其它,2,65.51,139,120
福苑小区,大兴其它,2,66.05,179,64
永顺南街164号院,万达,2,60.89,186,288
安华西里社区,安贞,3,75.12,578,510
慧谷阳光,望京,3,141.94,1199,278
中国铁建花语金郡,瀛海,1,66.81,218,331
万科紫台,岳各庄,3,168.21,1225,449
金地名京,四惠,2,115.57,858,157
环山村,海淀北部新区,2,59.1,245,248
法华南里,崇文门,2,58.24,460,531
宏仁家园,马驹桥,2,89.86,195,361
紫金新干线四区,霍营,3,92.03,378,57
南平里,首都机场,2,73.52,225,317
南横西街,牛街,1,42.3,318,126
模式口北里,苹果园,2,101.54,310,280
中国铁建花语金郡,瀛海,1,66.81,218,331
腾龙家园三区,阎村,2,90.13,130,219
模式口北里,苹果园,2,101.54,310,280
华源之星,三里屯,1,45.31,310,243
南露园,阜成门,1,44.5,448,387
复兴路61号院,万寿路,2,57.3,640,402
飘HOME,酒仙桥,1,64.11,365,495
弘善家园,潘家园,2,70.73,263,110
太平桥小区,太平桥,2,50.4,339,164
十里春风,通州其它,3,91.57,135,378
燕城苑南区,北七家,2,68.97,199,441
万源南里,万源,3,79.5,320,146
首开常青藤四期,东坝,3,99.82,625,337
磨房北里,北工大,2,57.87,320,176
碧桂园小区C区,长阳,2,94.73,199,14
融科千章墅,通州其它,3,256.38,908,226
后现代城A区,大望路,1,50.56,268,30
西山华府珑园,马连洼,4,169.3,1938,293
白檀小区,鼓楼街道,3,126.54,175,421
泰晤士印象,通州其它,2,82.98,164,391
华辉苑,潘家园,4,149.98,745,361
阳光城君山墅,溪翁庄镇,5,537.36,987,193
华纺易城,朝青,2,86.68,637,281
新奥洋房,永定门,3,157.95,1279,527
新景家园东区,崇文门,2,74.62,780,317
劲松二区,劲松,2,50.0,275,27
金玉府,田村,3,136.78,1120,482
菊园,马连洼,2,54.24,365,180
燕化星城建德三里,阎村,2,84.24,140,318
南沙滩小区,南沙滩,1,48.01,280,190
